,NumberOfInstances,LogNumberOfInstances,NumberOfClasses,NumberOfFeatures,LogNumberOfFeatures,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfFeaturesWithMissingValues,PercentageOfFeaturesWithMissingValues,NumberOfMissingValues,PercentageOfMissingValues,NumberOfNumericFeatures,NumberOfCategoricalFeatures,RatioNumericalToNominal,RatioNominalToNumerical,DatasetRatio,LogDatasetRatio,InverseDatasetRatio,LogInverseDatasetRatio,ClassProbabilityMin,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilitySTD,SymbolsMin,SymbolsMax,SymbolsMean,SymbolsSTD,SymbolsSum,KurtosisMin,KurtosisMax,KurtosisMean,KurtosisSTD,SkewnessMin,SkewnessMax,SkewnessMean,SkewnessSTD,ClassEntropy,LandmarkLDA,LandmarkNaiveBayes,LandmarkDecisionTree,LandmarkDecisionNodeLearner,LandmarkRandomNodeLearner,Landmark1NN,PCAFractionOfComponentsFor95PercentVariance,PCAKurtosisFirstPC,PCASkewnessFirstPC
3103,2446.0,7.802209316247118,12.0,1024.0,6.931471805599452,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.4186426819296811,-0.8707375106476646,2.388671875,0.8707375106476646,0.0004088307440719542,0.2559280457890433,0.08333333333333331,0.0989550350531566,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,2.491329149795084,0.2914584839698288,0.2639397660181107,0.3162827333357784,0.2605689410699214,0.25554248667502705,0.31551053959804337,0.5107421875,3.523036003112793,1.7906811237335205
3665,143.0,4.962844630259907,14.0,1024.0,6.931471805599452,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,7.160839160839161,1.968627175339546,0.1396484375,-1.968627175339546,0.006993006993006993,0.2517482517482518,0.07142857142857142,0.07457962320557028,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,3.057989491633665,0.16356770680300092,0.30745080296231186,0.3917167501438601,0.2868928826217829,0.2478443962970817,0.3606212287286456,0.07421875,6.102725028991699,2.5976336002349854
1066,145.0,4.976733742420574,2.0,94.0,4.543294782270004,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.6482758620689655,-0.43343896015057054,1.5425531914893618,0.43343896015057054,0.4137931034482759,0.5862068965517241,0.5,0.08620689655172413,0.0,0.0,0.0,0.0,0.0,-3.0,67.51398602250079,11.331795796124721,14.631484712863722,-1.0952582359313965,8.337504386901855,2.4691407155800373,1.8306459051177533,0.9784493292686188,0.63,0.6671428571428571,0.6495238095238096,0.6985714285714286,0.5857142857142856,0.6547619047619049,0.18085106382978725,3.5523605346679688,1.7055618762969968
3671,81.0,4.394449154672439,4.0,1024.0,6.931471805599452,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,12.641975308641975,2.5370226509270144,0.0791015625,-2.5370226509270144,0.037037037037037035,0.7407407407407407,0.25,0.2850722613263465,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.1992622968655111,0.21944444444444447,0.7464285714285713,0.6063492063492063,0.7450396825396824,0.7464285714285713,0.7478174603174603,0.0654296875,4.244609832763672,1.3251720666885376
468,72.0,4.276666119016055,6.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.04166666666666666,-3.1780538303479458,24.0,3.1780538303479458,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-1.9382672480074008,-0.14917436307101314,-1.1066569139190907,0.7357971636017249,0.037633322179317474,0.8438184261322021,0.3576122050484021,0.3494827143425388,2.5849625007211556,0.7999999999999999,0.8583333333333332,0.7666666666666667,0.33333333333333337,0.33333333333333337,0.8083333333333332,0.6666666666666666,-1.91502845287323,0.05016672983765602
3117,1211.0,7.099201743553093,6.0,1024.0,6.931471805599452,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.8455821635012386,-0.16772993795363922,1.1826171875,0.16772993795363916,0.003303055326176713,0.630057803468208,0.16666666666666666,0.21384010574165865,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.6299961551141482,0.2469746276327179,0.5297426795672916,0.6028899901257458,0.6361761046800265,0.6301727433354885,0.5927587062178878,0.4794921875,1.6122832298278809,0.14888019859790802
4136,600.0,6.396929655216146,2.0,20000.0,9.903487552536127,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,33.333333333333336,3.5065578973199822,0.03,-3.5065578973199822,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,20.76884411963697,-1.96419390282913,1.5046306106616023,-1.7045027017593384,4.088564872741698,0.12909032219564628,0.4759612817554967,1.0,0.6850000000000002,0.6516666666666666,0.8416666666666668,0.6799999999999999,0.5016666666666667,0.5066666666666666,0.02705,150.94186401367188,10.603182792663574
440,15.0,2.7080502011022096,2.0,9.0,2.19722457733622,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.6,-0.5108256237659907,1.6666666666666667,0.5108256237659907,0.06666666666666668,0.9333333333333332,0.5,0.43333333333333335,0.0,0.0,0.0,0.0,0.0,-1.634441382342855,3.3372013204546827,-0.13652411441750506,1.3202700818949218,-1.763135313987732,0.9614193439483644,-0.07390672299596998,0.8278950350235427,0.3533593350214213,0.8666666666666666,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.5555555555555556,-0.7725639343261719,0.4263962209224701
3659,935.0,6.840546529288687,6.0,1024.0,6.931471805599452,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,1.0951871657754009,0.09092527631076612,0.9130859375,-0.09092527631076608,0.0010695187165775401,0.5165775401069519,0.16666666666666666,0.1692301920730124,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.8752349965255604,0.41999431932513415,0.6063073059387565,0.5473723973682677,0.5576419863734163,0.516648106263799,0.4048854324603421,0.384765625,-1.6568050384521484,0.06638041883707048
3881,176.0,5.170483995038151,6.0,1024.0,6.931471805599452,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,5.8181818181818175,1.7609878105613013,0.171875,-1.7609878105613013,0.005681818181818182,0.4488636363636364,0.16666666666666666,0.1676751513552376,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.7864857704061816,0.2782671752911691,0.4105185758513932,0.5186731534719151,0.4746998009730207,0.463687896211116,0.4907106000294855,0.1015625,-1.519440531730652,0.5084555149078369
